"path","category","purpose","recommended_action","reason"
".runtime\kb_benchmark_history\prod\monitor_20260209T111054Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\kb_benchmark_history\prod\monitor_20260209T111137Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\kb_benchmark_history\prod\monitor_20260209T112125Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\kb_benchmark_history\prod\monitor_20260209T112132Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\kb_benchmark_history\staging\benchmark_20260209T111422Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\kb_benchmark_history\staging\monitor_20260209T111422Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\kb_benchmark_reviews\prod\review_20260209T112145Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\kb_monthly_checkpoints\prod\monthly_2026-02.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\manual_run\backend_8000.err.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\manual_run\backend_8000.out.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\P0_AI_Quality_Tests_20260210_145912.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_095317\RU-D1-01_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_095419\RU-D1-02_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_095756\RU-D1-02_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_095833\RU-D1-03_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_095908\day1_regression_agent.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_095908\day1_regression_market_data.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_095908\RU-D1-04_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101112\ru_d2_01_kb_note_20260210_101112.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101112\ru_d2_01_kb_note_20260210_101112.pdf","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101112\ru_d2_01_kb_note_20260210_101112.txt","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101134\RU-D2-01_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101134\ru_d2_01_kb_note_20260210_101134.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101134\ru_d2_01_kb_note_20260210_101134.pdf","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101134\ru_d2_01_kb_note_20260210_101134.txt","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101134\search_req_fts.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101134\search_req_hybrid.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101134\search_req_vector.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101228\RU-D2-01_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101228\ru_d2_01_kb_note_20260210_101228.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101228\ru_d2_01_kb_note_20260210_101228.pdf","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101228\ru_d2_01_kb_note_20260210_101228.txt","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101228\search_req_fts.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101228\search_req_hybrid.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101228\search_req_vector.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101404\RU-D2-02_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101404\ru_d2_02_report_req.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101404\ru_d2_02_tune_req.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101454\RU-D2-03_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101454\ru_d2_03_compare_req.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101454\ru_d2_03_snapshot_req.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101551\RU-D2-04_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_101551\RU-D2-04_review.md","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_102051\d301_ingest_US.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_102151\d301_ingest_CN.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_102151\d301_ingest_US.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_102151\d302_create_strategy_req.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_102151\d303_backtest_baseline_req.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_102151\d303_backtest_variant_req.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_102151\d304_report_req.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_102151\RU-D3-01_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_102151\RU-D3-02_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_102151\RU-D3-03_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_102151\RU-D3-04_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_102151\RU-D3-04_review.md","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_102151\RU-Day3_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_110721\d401_ingest_CN.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_110721\d401_ingest_US.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_110721\d401_retry_failed.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_110721\Day4_Execution_Report.md","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_110721\RU-D4-01_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_110721\RU-D4-02_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_110721\RU-D4-03_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_110721\RU-D4-04_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_112556\RU-D5-01_batch_verification.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_112556\RU-D5-01_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_112556\RU-D5-01_verification.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_113047\d502_ingest_2023_2024.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_113047\d502_multi_window_backtest.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_113047\d502_verify_availability.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_113047\RU-D5-02_analysis.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\real_usage\20260210_113047\RU-D5-02_evidence.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_dev_20260209T102105Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_dev_20260209T103515Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_dev_20260209T104442Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_dev_20260209T111233Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_dev_20260209T112335Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_dev_20260209T113419Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_dev_20260209T121059Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_dev_20260210T084645Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_dev_20260210T084852Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_dev_kb_auto.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_dev_local.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_prod_20260209T104139Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_prod_20260209T104147Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_prod_20260209T121118Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_prod_kb_required_defaultcases_smoke.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_prod_kb_required_smoke.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_prod_local.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_prod_threshold_045_check.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_prod_threshold_check.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_staging_20260209T104449Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\release_gate_staging_local.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\rollback_drills\deploy_report_staging_20260209T103341Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\rollback_drills\deploy_report_staging_20260209T103430Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\rollback_drills\deploy_report_staging_20260209T121119Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\rollback_drills\rollback_drill_summary_staging_20260209T103341Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\rollback_drills\rollback_drill_summary_staging_20260209T103430Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\rollback_drills\rollback_drill_summary_staging_20260209T121119Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\backend_8012_start.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\f001_retest.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\f003_filter_req.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\f003_nofallback_req.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\g_fail_heartbeat.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\g_fail_reports\cycle_20260209T120958Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\g_heartbeat.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\g_jobs_fail.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\g_jobs_ok.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\g_reports\cycle_20260209T120940Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\g_reports\cycle_20260209T120948Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\g_webhook\received.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\report_req_ascii.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\sp_test.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\start_test.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-A-001_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-A-002_bootstrap.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-A-002_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-A-003_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-A-004_pytest.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-A-004_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-B-001_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-B-002_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-B-003_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-B-004_holdings.csv","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-B-004_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-B-004_summary.csv","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-B-004_trades.csv","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-C-001_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-C-002_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-C-003_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-C-004_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-C-005_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-C-group_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-D-001_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-D-002_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-D-003_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-D-004_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-D-group_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-E-001_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-E-002_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-E-003_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-E-004_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-E-005_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-E-group_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-F-001_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-F-002_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-F-003_filtered_raw.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-F-003_no_fallback_raw.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-F-003_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-F-004_raw_http.txt","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-F-004_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-F-group_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-G-001_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-G-002_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-G-003_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-G-004_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-G-group_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-H-001_release_gate_dev.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-H-001_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-H-002_release_gate_prod_kb_policy.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-H-002_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-H-003_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-H-003_rollback_drill.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-H-004_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-H-004_security.log","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT-H-group_result.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\uat_kb_note.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\uat_kb_note.pdf","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
